Category,#,Question,Client Answer,Notes / Evidence,Risk Indicator
ORGANISATION,1.1,Company legal name,,,"—"
ORGANISATION,1.2,Industry / sector,,,"—"
ORGANISATION,1.3,Number of total employees,,,"—"
ORGANISATION,1.4,Number of privileged users (will access WALLIX),,,"—"
ORGANISATION,1.5,Number of geographic sites in scope,,,"—"
ORGANISATION,1.6,Compliance frameworks in scope (GDPR / NIS2 / PCI-DSS / IEC 62443 / NERC CIP / ISO 27001 / HIPAA / Other),,,"—"
ORGANISATION,1.7,Target go-live date,,,"—"
ORGANISATION,1.8,Project sponsor name and role,,,"—"
ORGANISATION,1.9,Technical lead name and contact,,,"—"
ACTIVE DIRECTORY,2.1,AD architecture (Single domain / Multi-domain / Multi-forest / Hybrid / Cloud-only),,,"—"
ACTIVE DIRECTORY,2.2,Number of AD forests in scope,,,"HIGH if > 1"
ACTIVE DIRECTORY,2.3,Domain FQDN(s) — list all,,,"—"
ACTIVE DIRECTORY,2.4,Domain functional level (Windows Server year),,,"—"
ACTIVE DIRECTORY,2.5,Number of domain controllers per site,,,"—"
ACTIVE DIRECTORY,2.6,Are DCs virtualised?,,,"—"
ACTIVE DIRECTORY,2.7,DC operating system version,,,"HIGH if < Server 2016"
ACTIVE DIRECTORY,2.8,Is LDAPS (port 636) enabled and working?,,,"HIGH if NO"
ACTIVE DIRECTORY,2.9,Is a service account available for Bastion LDAP bind?,,,"HIGH if NO"
ACTIVE DIRECTORY,2.10,Are privileged users in dedicated AD groups?,,,"MEDIUM if NO"
ACTIVE DIRECTORY,2.11,Is AD replication healthy across all sites?,,,"HIGH if NO"
ACTIVE DIRECTORY,2.12,Is LDAP signing enforced?,,,"MEDIUM if NO"
MFA / FORTIAUTHENTICATOR,3.1,Is FortiAuthenticator already deployed?,,,"—"
MFA / FORTIAUTHENTICATOR,3.2,FortiAuthenticator version (if deployed),,,"HIGH if < 6.4"
MFA / FORTIAUTHENTICATOR,3.3,FortiAuthenticator HA (single node / active-passive)?,,,"MEDIUM if single"
MFA / FORTIAUTHENTICATOR,3.4,FortiToken licenses available (count)?,,,"HIGH if 0"
MFA / FORTIAUTHENTICATOR,3.5,Token type preferred (FortiToken 200 hardware / FortiToken Mobile software / Both)?,,,"—"
MFA / FORTIAUTHENTICATOR,3.6,Are smartphones permitted in all work areas?,,,"HIGH if NO — hardware tokens required"
MFA / FORTIAUTHENTICATOR,3.7,Is any MFA currently in use (where)?,,,"—"
NETWORK,4.1,Is there a firewall between IT and OT networks?,,,"HIGH if NO"
NETWORK,4.2,Is there a dedicated DMZ for security tools?,,,"MEDIUM if NO"
NETWORK,4.3,Who manages firewall rules (internal / outsourced)?,,,"—"
NETWORK,4.4,Average change request lead time for firewall rules (days)?,,,"HIGH if > 10"
NETWORK,4.5,Is NTP synchronised across all infrastructure?,,,"HIGH if NO"
NETWORK,4.6,Is DNS resolution working for all target hostnames from the proposed Bastion network?,,,"HIGH if NO"
NETWORK,4.7,Network connectivity between proposed Bastion location and AD DCs (port 636)?,,,"HIGH if NO"
NETWORK,4.8,Existing VPN solutions in use (vendor / contractor access)?,,,"—"
NETWORK,4.9,Are vendor VPN accounts reviewed and expired regularly?,,,"HIGH if NO"
INFRASTRUCTURE,5.1,Are servers available for Bastion installation (virtual / physical)?,,,"HIGH if NO"
INFRASTRUCTURE,5.2,Virtualisation platform (VMware / Hyper-V / KVM / Physical)?,,,"—"
INFRASTRUCTURE,5.3,Operating system on Bastion servers (Debian 12 required)?,,,"HIGH if different OS"
INFRASTRUCTURE,5.4,HA model required per site (Active-Active / Active-Passive)?,,,"—"
INFRASTRUCTURE,5.5,Is WALLIX Access Manager in scope?,,,"—"
INFRASTRUCTURE,5.6,Is WALLIX RDS (RemoteApp) in scope?,,,"—"
INFRASTRUCTURE,5.7,HAProxy or external load balancer available?,,,"—"
INFRASTRUCTURE,5.8,TLS certificate provider (internal CA / public CA)?,,,"—"
INFRASTRUCTURE,5.9,Is a pre-production lab environment available?,,,"HIGH if NO"
TARGETS,6.1,Total number of target devices in scope,,,"—"
TARGETS,6.2,Target operating systems (Windows Server 2022 / RHEL 10 / RHEL 9 / Other — count each),,,"—"
TARGETS,6.3,Protocols in use — SSH (count)?,,,"—"
TARGETS,6.4,Protocols in use — RDP (count)?,,,"—"
TARGETS,6.5,Protocols in use — VNC (count)?,,,"—"
TARGETS,6.6,Protocols in use — Telnet (count)?,,,"HIGH if > 0 — plan migration"
TARGETS,6.7,Protocols in use — HTTP/HTTPS web management (count)?,,,"—"
TARGETS,6.8,Are any targets air-gapped or not reachable from the proposed Bastion location?,,,"HIGH if YES"
TARGETS,6.9,Are there shared / generic accounts on targets (admin / root / operator)?,,,"HIGH if YES"
TARGETS,6.10,When were privileged account passwords last rotated?,,,"HIGH if > 90 days or never"
TARGETS,6.11,Are automated scripts using privileged accounts (service accounts)?,,,"HIGH if YES and undocumented"
OT / ICS,7.1,Are OT / SCADA systems in scope?,,,"—"
OT / ICS,7.2,OT system types (PLCs / SCADA / HMI / Historian / DCS / RTU / SIS)?,,,"—"
OT / ICS,7.3,OT asset age profile (% under 5y / 5-15y / 15-25y / >25y)?,,,"HIGH if > 30% over 15y"
OT / ICS,7.4,Is there an existing OT jump host?,,,"—"
OT / ICS,7.5,OT protocols in use (Modbus / DNP3 / IEC 61850 / OPC / PROFINET / Other)?,,,"—"
OT / ICS,7.6,Are Safety Instrumented Systems (SIS) in scope?,,,"HIGH — requires extra controls"
OT / ICS,7.7,Planned OT maintenance windows (dates / frequency)?,,,"HIGH if none scheduled"
OT / ICS,7.8,Acceptable latency increase for OT sessions (ms)?,,,"—"
OT / ICS,7.9,OT compliance framework (IEC 62443 Security Level target)?,,,"—"
COMPLIANCE,8.1,Is GDPR applicable?,,,"—"
COMPLIANCE,8.2,Is NIS2 applicable (essential or important entity)?,,,"—"
COMPLIANCE,8.3,Is PCI-DSS applicable?,,,"—"
COMPLIANCE,8.4,Is IEC 62443 applicable?,,,"—"
COMPLIANCE,8.5,Is NERC CIP applicable?,,,"—"
