Section,Category,Line Item,Value (€),Notes / Source
BREACH RISK,Input,Industry average breach cost (SLE baseline),4880000,IBM Cost of a Data Breach 2024 — adjust for sector
BREACH RISK,Input,Sector adjustment multiplier,1.00,Healthcare: 2.00 / Financial: 1.25 / Industrial: 0.97 / Energy: 0.97 / Retail: 0.61
BREACH RISK,Input,Client-specific adjustment multiplier,1.00,"Increase for: large data volumes, high public profile, prior incidents"
BREACH RISK,Calculated,Estimated Single Loss Expectancy (SLE),=B3*B4*B5,Formula: SLE = Baseline × Sector multiplier × Client multiplier
BREACH RISK,Input,Industry annual breach probability (%),27,Ponemon Institute 2024 — percentage as decimal e.g. 0.27
BREACH RISK,Input,Client risk profile adjustment,1.00,"Increase for: no current controls, external-facing systems, known vulnerabilities"
BREACH RISK,Calculated,Annual Rate of Occurrence (ARO),=B8*B9,Formula: ARO = Industry probability × Client adjustment
BREACH RISK,Calculated,Pre-control Annualised Loss Expectancy (ALE),=B6*B10,Formula: ALE = SLE × ARO
BREACH RISK,Input,Risk reduction with full PAM deployed (%),74,"Verizon DBIR 2024: 74% of breaches involve privileged access — PAM directly reduces this exposure"
BREACH RISK,Calculated,Residual ARO,=B10*(1-(B12/100)),Formula: Residual ARO = ARO × (1 - Risk reduction %)
BREACH RISK,Calculated,Residual ALE,=B6*B13,Formula: Residual ALE = SLE × Residual ARO
BREACH RISK,Calculated,Annual risk reduction value,=B11-B14,Formula: Risk reduction value = Pre-control ALE - Residual ALE
,,,,
COMPLIANCE,Input,GDPR maximum fine exposure,0,Set to max fine or estimated proportional fine if GDPR applies
COMPLIANCE,Input,NIS2 maximum fine exposure,0,Set to max fine if NIS2 applies (essential: €10M / important: €7M or turnover %)
COMPLIANCE,Input,PCI-DSS maximum fine exposure,0,Set to estimated card scheme fine + certification loss if PCI-DSS applies
COMPLIANCE,Input,NERC CIP maximum fine exposure,0,Up to $1M/day per violation — set if applicable
COMPLIANCE,Input,Other framework fine exposure,0,Enter any other applicable framework
COMPLIANCE,Calculated,Total maximum fine exposure,=SUM(B18:B22),Sum of all applicable framework exposures
COMPLIANCE,Input,Probability of fine without PAM (%),15,Conservative estimate — adjust based on regulatory environment and recent enforcement
COMPLIANCE,Calculated,Annualised compliance fine risk,=B23*(B25/100),Formula: Annual fine risk = Total exposure × Probability
,,,,
INSURANCE,Input,Current annual cyber insurance premium,0,Enter client's actual premium
INSURANCE,Input,Estimated premium reduction with full PAM (%),25,Typical range 20-35% — verify with client's broker
INSURANCE,Calculated,Annual insurance premium saving,=B29*(B30/100),Formula: Saving = Premium × Reduction %
,,,,
OPERATIONAL,Input,Number of privileged users,0,From 03-user-inventory.csv
OPERATIONAL,Input,Average manual offboarding time per user (hours),4,Time to manually remove access from all systems
OPERATIONAL,Input,Hourly rate for IT staff (€),70,Blended rate including oncosts
OPERATIONAL,Calculated,Annual offboarding time saving (hours),=B34*(B35/12)*2,"Assumes 2 offboardings per month at avg team size — adjust for actual turnover"
OPERATIONAL,Calculated,Annual offboarding cost saving,=B37*B36,Formula: Saving = Hours saved × Hourly rate
OPERATIONAL,Input,Number of audit cycles per year,2,Typically 1-2 external audits per year
OPERATIONAL,Input,Audit preparation time saved per cycle (days),3,Time saved on privileged access evidence collection
OPERATIONAL,Calculated,Annual audit preparation saving,=B40*B41*8*B36,Formula: Saving = Cycles × Days × 8 hours × Hourly rate
